ID	Type
Falco_rusticolus	Y
Falco_tinnunculus	Y
Falcunculus_frontatus	X
Ficedula_albicollis	X
Formicarius_rufipectus	X
Fratercula_arctica	Y
Fratercula_cirrhata	Y
Fregata_magnificens	Y
Fregetta_grallaria	Y
Fringilla_coelebs_coelebs	X
Fulica_atra	X
Fulmarus_glacialis	Y
Furnarius_figulus	X
Galbula_dea	X
Gallirallus_okinawae	X
Gallus_gallus	Y
Gavia_stellata	X
Geococcyx_californianus	X
Geospiza_fortis	X
Geothlypis_trichas	X
Glareola_pratincola	X
Glaucidium_brasilianum	Y
Gorsachius_goisagi	X
Grallaria_varia	X
Grantiella_picta	X
Grus_americana	Y
Grus_japonensis	Y
Grus_monacha	Y
Grus_nigricollis	Y
Guaruba_guarouba	X
Gymnogyps_californianus	Y
Gymnorhina_tibicen	X
Halcyon_senegalensis	Y
Haliaeetus_albicilla	Y
Haliaeetus_leucocephalus	Y
Haliaeetus_pelagicus	Y
Heliornis_fulica	Y
Hemignathus_wilsoni	X
Hemiprocne_comata	X
Herpetotheres_cachinnans	Y
Heteronetta_atricapilla	Y
Himantopus_himantopus	Y
Himantopus_leucocephalus	Y
Hippolais_icterina	X
Hirundo_rustica	X
Hirundo_rustica_rustica	X
Horornis_vulcanius	X
Hylia_prasina	X
Hypocryptadius_cinnamomeus	X
Ibidorhyncha_struthersii	Y
Ifrita_kowaldi	X
Illadopsis_cleaveri	X
Indicator_maculatus	X
Irena_cyanogastra	X
Jacana_jacana	X
Junco_hyemalis	X
Lagopus_leucura	X
Lagopus_muta_japonica	Y
Lamprotornis_superbus	X
Lanius_collurio	X
Lanius_ludovicianus	X
Larus_smithsonianus	X
Leiothrix_lutea	X
Lepidothrix_coronata	X
Leptocoma_aspasia	X
Leptosomus_discolor	Y
Leucopsar_rothschildi	X
Lichenostomus_cassidix	X
Limosa_lapponica_baueri	Y
Locustella_ochotensis	X
Lonchura_striata_domestica	X
Lophochroa_leadbeateri	X
Lophotis_ruficrista	X
Lophura_nycthemera	Y
Lorius_garrulus	Y
Loxia_curvirostra	X
Loxia_leucoptera	X
Lycocorax_pyrrhopterus_obiensis	X
Lyrurus_tetrix_tetrix	X
Machaerirhynchus_nigripectus	X
Malurus_cyaneus_samueli	X
Malurus_elegans	X
Manacus_vitellinus	X
Megadyptes_antipodes_antipodes	Y
Melanerpes_aurifrons	Y
Melanocharis_versteri	X
Meleagris_gallopavo	X
Melopsittacus_undulatus	X
Melospiza_melodia	X
Melospiza_melodia_maxima	X
Menura_novaehollandiae	X
Merops_nubicus	X
Mesembrinibis_cayennensis	Y
Mesitornis_unicolor	Y
Mionectes_macconnelli	X
Mixornis_gularis	X
Mohoua_ochrocephala	X
Molothrus_ater	X
Montifringilla_adamsi	X
Motacilla_alba_alba	X
Motacilla_alba	X
Motacilla_tschutschensis	X
Myiagra_hebetior	X
Myiopsitta_monachus	X
Mystacornis_crossleyi	X
Neodrepanis_coruscans	X
Neopelma_chrysocephalum	X
Neopipo_cinnamomea	X
Nesospiza_acunhae	X
Nestor_notabilis	Y
Nettapus_auritus	Y
Nicator_chloris	X
Nipponia_nippon	Y
Nisaetus_nipalensis	Y
Nothocercus_julius	Z
Nothocercus_nigrocapillus	Z
Nothoprocta_ornata	Y
Nothoprocta_pentlandii	Y
Nothoprocta_perdicaria	Y
Notiomystis_cincta	X
Numida_meleagris	X
Nyctibius_bracteatus	X
Nyctibius_grandis	X
Nycticryphes_semicollaris	Y
Nyctiprogne_leucopyga	Y
Nymphicus_hollandicus	X
Oceanites_oceanicus	Y
Oceanodroma_tethys	Y
Odontophorus_gujanensis	X
Oenanthe_oenanthe	X
Onychorhynchus_coronatus	X
Onychostruthus_taczanowskii	X
Opisthocomus_hoazin	Y
Oreocharis_arfaki	X
Oreotrochilus_melanogaster	X
Origma_solitaria	X
Oriolus_oriolus	X
Orthonyx_spaldingii	X
Otus_sunia	Y
Oxylabes_madagascariensis	X
Oxyruncus_cristatus	X
Oxyura_jamaicensis	Y
Pachycephala_philippinensis	X
Pachyramphus_minor	X
Pandion_haliaetus	X
Panurus_biarmicus	X
Paradisaea_raggiana	X
Paradisaea_rubra	X
Pardalotus_punctatus	X
Parotia_lawesii	X
Parus_major	X
Passer_domesticus	X
Passerina_amoena	X
Passer_montanus	X
Patagioenas_fasciata_monilis	X
Pavo_cristatus	Y
Pavo_muticus	Y
Pedionomus_torquatus	Y
Pelecanoides_urinatrix	Y
Pelecanus_crispus	X
Penelope_pileata	X
Peucedramus_taeniatus	X
Phaethon_lepturus	Y
Phaetusa_simplex	Y
Phainopepla_nitens	X
Phalacrocorax_auritus	Y
Phalacrocorax_brasilianus	Y
Phalacrocorax_carbo	Y
Phalacrocorax_harrisi	Y
Phalacrocorax_pelagicus	X
Phasianus_colchicus	Y
Pheucticus_melanocephalus	X
Phoebastria_albatrus	Y
Phoenicopterus_ruber_ruber	Y
Phylloscopus_plumbeitarsus	X
Phylloscopus_trochiloides_trochiloides	X
